atributo,nome,valor,protocolo,servico,tipo
name,Nome,Livia,2020.10-32.618,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Oliveira,2020.10-32.618,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.10-32.618,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.10-32.618,Poda / Corte de Árvore,STRING
name,Nome,Livia,2020.10-32.617,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Oliveira,2020.10-32.617,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.10-32.617,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.10-32.617,Poda / Corte de Árvore,STRING
name,Nome,Livia,2020.10-32.616,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Oliveira,2020.10-32.616,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.10-32.616,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.10-32.616,Poda / Corte de Árvore,STRING
name,Nome,maria,2020.10-32.615,Poda / Corte de Árvore,STRING
lastname,Sobrenome,da silva,2020.10-32.615,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.10-32.615,Poda / Corte de Árvore,STRING
email,Email,email@email.com,2020.10-32.615,Poda / Corte de Árvore,STRING
name,Nome,livia,2020.10-32.614,Poda / Corte de Árvore,STRING
lastname,Sobrenome,xavier,2020.10-32.614,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.10-32.614,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.10-32.614,Poda / Corte de Árvore,STRING
name,Nome,Livia,2020.10-32.613,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Xavier,2020.10-32.613,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.10-32.613,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.10-32.613,Poda / Corte de Árvore,STRING
name,Nome,Livia,2020.10-32.612,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Xavier,2020.10-32.612,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.10-32.612,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.10-32.612,Poda / Corte de Árvore,STRING
zipcode,CEP,01154-000,2020.10-54.611,Compra de computadores,STRING
street,Logradouro,Av. Gen. Olímpio da Silveira,2020.10-54.611,Compra de computadores,STRING
neighborhood,Bairro,Santa Cecilia,2020.10-54.611,Compra de computadores,STRING
city,Cidade,São Paulo,2020.10-54.611,Compra de computadores,STRING
state,Estado,SP,2020.10-54.611,Compra de computadores,STRING
name,Nome,Livia,2020.10-54.611,Compra de computadores,STRING
lastname,Sobrenome,Xavier,2020.10-54.611,Compra de computadores,STRING
cpf,CPF,111.111.111-11,2020.10-54.611,Compra de computadores,STRING
