"atributo","nome","valor","protocolo","servico","tipo","campoRelacionado"
"name","Nome","carlos","2021.3-78.801","Alvará de Construção - Semurh","STRING","null"
"email","email","crismachado88@hotmail.com","2021.3-78.801","Alvará de Construção - Semurh","ID","null"
"cpf","Cpf","111.111.111-11","2021.3-78.801","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","33.333.333/3333-33","2021.3-78.801","Alvará de Construção - Semurh","ID","null"
"name","Nome","Maria José","2021.3-78.800","Alvará de Construção - Semurh","STRING","null"
"email","email","crismachado88@hotmail.com","2021.3-78.800","Alvará de Construção - Semurh","ID","null"
"cpf","Cpf","111.111.111-11","2021.3-78.800","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","33.333.333/3333-33","2021.3-78.800","Alvará de Construção - Semurh","ID","null"
"name","Nome","cris","2021.3-78.799","Alvará de Construção - Semurh","STRING","null"
"email","email","crismachado88@hotmail.com","2021.3-78.799","Alvará de Construção - Semurh","ID","null"
"cpf","Cpf","111.111.111-11","2021.3-78.799","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","33.333.333/3333-33","2021.3-78.799","Alvará de Construção - Semurh","ID","null"
"email","email","fernando.jobim@alparservice.com.br","2021.3-78.798","Alvará de Construção - Semurh","ID","null"
"cpf","Cpf","186.302.308-94","2021.3-78.798","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","10625532000178","2021.3-78.798","Alvará de Construção - Semurh","ID","null"
"email","email","fernando.jobim@alparservice.com.br","2021.3-78.797","Alvará de Construção - Semurh","ID","null"
"cpf","Cpf","186.302.308-94","2021.3-78.797","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","10625532000178","2021.3-78.797","Alvará de Construção - Semurh","ID","null"
"cpf","Cpf","186.302.308-94","2021.3-78.796","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","10625532000178","2021.3-78.796","Alvará de Construção - Semurh","ID","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.3-32.795","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.3-32.795","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.3-32.795","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.3-32.795","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.3-32.795","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.3-32.795","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.3-32.795","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.3-32.795","Poda / Corte de Árvore","ID","null"
"number","Número","9","2021.3-32.795","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.3-32.794","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.3-32.794","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.3-32.794","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.3-32.794","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.3-32.794","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.3-32.794","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.3-32.794","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.3-32.794","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.3-32.794","Poda / Corte de Árvore","STRING","null"
